"name","id.viaf","id.wiki","id.oape"
"ابي بكر القومسي","NA","NA","3049"
"ابي تمام يوسف بن محمد النيسابوري","NA","NA","3051"
"ابي جعفر","NA","NA","29"
"ابي حامد الغزالي","NA","NA","3052"
"ابي حيان التوحيدي","NA","NA","3053"
"ابي زكريا الصيمرى","NA","NA","3054"
"ابي زكريا يحيى بن عدي الصيمري","NA","NA","3055"
"ابي زيد","NA","NA","30"
"ابي سعيد الاصمعي","NA","NA","3056"
"ابي سليمان محمد المقدسي","NA","NA","3059"
"ابي سليمان السنجري","NA","NA","3058"
"ابي سليمان المنطقي","48068341","Q3303997","3057"
"ابي سهل نصر بن علي النصراني","NA","NA","3060"
"ابي عبد الله محمد بن ابي الخصال","NA","NA","3061"
"ابي عبد الله محمد بن سلامة بن جعفر بن حكمون القضاعي","NA","NA","3062"
"ابي عبد الله ابن الحداد يصف اسطول المعتصم بن صمادح","NA","NA","31"
"ابي عبيد الله محمد ابن احمد الحكيمي","NA","NA","3063"
"ابي عثمان بن بحر الجاحظ","NA","NA","3064"
"ابي علي احمد بن مسكويه","NA","NA","3065"
"ابي علي عيسى بن زرعة المنطقي","NA","NA","3067"
"ابي علي بن سينا","NA","NA","3066"
"ابي عمر محمد بن عبد الواحد غلام","NA","NA","3068"
"ابي عمر محمد بن يوسف الكندي","NA","NA","32"
"ابي عمرو سعيد بن الفرخان النصراني","NA","NA","3069"
"ابي قاسم ابن عساكر","NA","NA","4247"
"ابي محارب الحسن بن سهل بن محارب القمي","NA","NA","3070"
"ابي محمد عبد الله ابن القاضي ابي الفضل عبد الرحمن بن يحيى الديباجي العثماني","NA","NA","3075"
"ابي محمد الاندلسي النحوي","NA","NA","3071"
"ابي محمد المقدسي العروضي","NA","NA","3072"
"ابي محمد بن عبد الله بن مسلم بن قتيبة","NA","NA","3073"
"ابي محمد بن يوسف بن يعقوب الكندي","NA","NA","3074"
"ابي مخنف","NA","NA","3077"
"ابي مسعود","NA","NA","3078"
"ابي منصور عبد القاهر بن طاهر بن محمد البغدادي","NA","NA","3079"
"ابي نصر محمد بن محمد بن طرخان الفارابي","NA","NA","3082"
"ابي نصر الفارابي","NA","NA","3080"
"ابي نصر بن بشر بن عبد الانباري النصراني","NA","NA","3081"
"ابي يزيد البسطامي","NA","NA","4273"
"ابي يعلى حمزة القلانسي","NA","NA","3083"
"ابي يوسف","NA","NA","64"
"ابيل","NA","NA","3157"
"اثناسيوس اغناطيوس نوري","NA","NA","1037"
"اثير الدين ابي حيان النحوي الاندلسي","NA","NA","3084"
"احد افاضل الامراء والكتاب في الشام","NA","NA","3085"
"احد افاضل الكتاب في دمشق ـ الشام","NA","NA","3086"
"احد الافاضل في بتاوي الجاوه","NA","NA","3087"
"احد الفضلاء","NA","NA","3088"
"احد الكتاب من سوريا","NA","NA","3089"
"احد المشتركين","NA","NA","1038"
"احد شعراء العرب","NA","NA","1039"
"احد طلبة الطب بمصر","NA","NA","3090"
"احد علماء الازهر","NA","NA","3091"
"احد علماء الشيعة الاماجيد","NA","NA","3092"
"احد علماء حلب","NA","NA","3093"
"احد فضلاء اللبنانيين","NA","NA","1040"
"احمد","NA","NA","1041"
"احمد حسن الزيات","NA","NA","3094"
"احمد فخري","NA","NA","3095"
"احمد ابراهيم","NA","NA","1042"
"احمد احسان","NA","NA","3096"
"احمد حافظ عوض","NA","NA","4108"
"احمد نسيم","NA","NA","4202"
"احمد الاسكندري","NA","NA","1046"
"احمد الاطيمشي","NA","NA","1043"
"احمد الامين الشنقيطي","NA","NA","1045"
"احمد البصري","NA","NA","3097"
"احمد السويدي","NA","NA","1047"
"احمد الصابوني الحموي","NA","NA","1048"
"احمد الصراف","NA","NA","1049"
"احمد الفيتوري","NA","NA","1050"
"احمد القادري المغربي","NA","NA","3099"
"احمد الكاشف","NA","NA","1051"
"احمد اللبابيدي","NA","NA","1052"
"احمد المقبلي","NA","NA","3100"
"احمد المنوفي","NA","NA","1053"
"احمد الجزار","NA","NA","3101"
"احمد بدوي النقاش","NA","NA","1054"
