"id","name.Arab","name.Latn","place","lat","long","type"
"oape:344","Cottbus UB Cottbus-Senftenberg","Cottbus UB Cottbus-Senftenberg","Cottbus","51.76734","14.32956","collection"
"oape:22","Duke University Library","Duke University Library","Durham","35.99403","-78.89862","collection"
"oape:23","Durham University Library","Durham University Library","Durham","35.99403","-78.89862","collection"
"oape:25","Dār al-Kutub al-Qawmiyya Microfilm Collection","Dār al-Kutub al-Qawmiyya Microfilm Collection","Cairo","30.06263","31.24967","collection"
"oape:27","Dār al-Kutub al-Waṭaniyya","Dār al-Kutub al-Waṭaniyya","Tunis","36.81897","10.16579","collection"
"oape:28","Dāʾirat al-Maktaba al-Waṭaniyya, al-Urdun (Administration of National Library, Jordan)","Dāʾirat al-Maktaba al-Waṭaniyya, al-Urdun (Administration of National Library, Jordan)","Amman","31.95522","35.94503","collection"
"oape:24","Dār al-Kutub al-Qawmiyya","Egyptian National Library","Cairo","30.06263","31.24967","collection"
"oape:332","Eichstätt UB","Eichstätt UB","Eichstätt","48.88671","11.19172","collection"
"oape:342","Erfurt FH","Erfurt FH","Erfurt","50.98557","11.04205","collection"
"oape:279","Erlangen-Nürnberg UB","Erlangen-Nürnberg UB","Erlangen","49.59667","11.00632","collection"
"Fak","Fak","Fak","NA","NA","NA","collection"
"oape:349","Florenz Kunsthist. Inst.","Florenz Kunsthist. Inst.","Florence","43.77731","11.26391","collection"
"oape:354","Frankfurt/M Theol.HS","Frankfurt/M Theol.HS","Frankfurt","50.09880","8.71281","collection"
"oape:314","Frankfurt/M UAS","Frankfurt/M UAS","Frankfurt","50.13136","8.69221","collection"
"oape:264","Frankfurt/M UB/ZB","Frankfurt/M UB/ZB","Frankfurt","50.12043","8.65292","collection"
"oape:328","Frankfurt/O UB","Frankfurt/O UB","Frankfurt (Oder)","52.34232","14.55426","collection"
"oape:294","Freiberg TU BA","Freiberg TU BA","Freiberg","50.92456","13.33913","collection"
"oape:291","Freiburg Oriental. Sem","Freiburg Oriental. Sem","Freiburg im Breisgau","47.99400","7.84611","collection"
"oape:29","Freie Universität Berlin, Library of the Institut für Islamwissenschaft","Freie Universität Berlin, Library of the Institut für Islamwissenschaft","Berlin","52.52437","13.41053","collection"
"oape:30","Freie Universität Berlin, Library of the Seminar für Semitistik und Arabistik","Freie Universität Berlin, Library of the Seminar für Semitistik und Arabistik","Berlin","52.52437","13.41053","collection"
"oape:309","Gießen UB","Gießen UB","Giessen","50.57593","8.69556","collection"
"oape:380","Gotha FB","Gotha FB","Gotha","50.94605","10.70485","collection"
"oape:306","Greifswald UB","Greifswald UB","Greifswald","54.09094","13.40570","collection"
"oape:300","Göttingen SUB","Göttingen SUB","Göttingen","51.53978","9.93567","collection"
"oape:31","Hakkı Tarık Us Collection of Beyazit State Library, Istanbul","Hakkı Tarık Us Collection of Beyazit State Library, Istanbul","Istanbul","41.01384","28.94966","collection"
"oape:393","Halle/S Franck. Stiftungen","Halle/S Franck. Stiftungen","Halle","51.47816","11.97360","collection"
"oape:305","Halle/S UuLB","Halle/S UuLB","Halle","51.48941","11.96967","collection"
"oape:268","Halle/S ZwB Vord. Orient","Halle/S ZwB Vord. Orient","Halle","51.49398","11.96357","collection"
"oape:359","Hamburg Asien-Afrika-Inst.","Hamburg Asien-Afrika-Inst.","Hamburg","53.56244","9.98893","collection"
"oape:373","Hamburg Commerzbibliothek","Hamburg Commerzbibliothek","Hamburg","53.55002","9.99097","collection"
"oape:405","Hamburg GIGA Afr/As/Nahost/Lat","Hamburg GIGA Afr/As/Nahost/Lat","Hamburg","53.55691","9.99246","collection"
"oape:396","Hamburg Geograph.Gesellschaft","Hamburg Geograph.Gesellschaft","Hamburg","53.56820","9.97390","collection"
"oape:395","Hamburg Inst. Geographie","Hamburg Inst. Geographie","Hamburg","53.56809","9.97396","collection"
"oape:365","Hamburg MPI IntPrivatrecht","Hamburg MPI IntPrivatrecht","Hamburg","53.56278","9.99477","collection"
"oape:372","Hamburg Mus.am Rothenbaum","Hamburg Mus.am Rothenbaum","Hamburg","53.56832","9.98927","collection"
"oape:276","Hamburg SUB","Hamburg SUB","Hamburg","53.56486","9.98519","collection"
"oape:335","Hamburg TUHH","Hamburg TUHH","Hamburg","53.46099","9.96901","collection"
"oape:371","Hamburg ZB Philosophie","Hamburg ZB Philosophie","Hamburg","53.56720","9.98558","collection"
"oape:388","Hamburg ZB Recht","Hamburg ZB Recht","Hamburg","53.56673","9.98789","collection"
"oape:379","Hamburg ZBW","Hamburg ZBW","Hamburg","53.55736","9.99265","collection"
"oape:385","Hannover GWLB","Hannover GWLB","Hanover","52.36525","9.73115","collection"
"oape:350","Hannover HS ZentralB Linden","Hannover HS ZentralB Linden","Hanover","52.35375","9.72266","collection"
"oape:351","Hannover Kurt-Schwitters-Forum","Hannover Kurt-Schwitters-Forum","Hanover","52.32046","9.81905","collection"
